disorder,module,informant,status,merged_var,proposed_case_definition
Attention-deficit/hyperactivity disorder,adhd,parent,unknown,mh_p_ksads__adhd__fullrem_dx,mh_p_ksads__adhd__fullrem_dx == 1
Attention-deficit/hyperactivity disorder,adhd,parent,partial_remission,mh_p_ksads__adhd__partrem_dx,mh_p_ksads__adhd__partrem_dx == 1
Attention-deficit/hyperactivity disorder,adhd,parent,past,mh_p_ksads__adhd__past_dx,mh_p_ksads__adhd__past_dx == 1
Attention-deficit/hyperactivity disorder,adhd,parent,present,mh_p_ksads__adhd__pres_dx,mh_p_ksads__adhd__pres_dx == 1
Attention-deficit/hyperactivity disorder,adhd,parent,lifetime_union,mh_p_ksads__adhd__partrem_dx | mh_p_ksads__adhd__past_dx | mh_p_ksads__adhd__pres_dx,any(present/past/partial_remission _dx == 1)
Other specified attention-deficit/hyperactivity disorder,adhd,parent,unknown,mh_p_ksads__adhd__oth_dx,mh_p_ksads__adhd__oth_dx == 1
Unspecified Attention-deficit/hyperactivity disorder,adhd,parent,unknown,mh_p_ksads__adhd__unspec_dx,mh_p_ksads__adhd__unspec_dx == 1
"Other specified anxiety disorder, agoraphobia",agor,parent,unknown,mh_p_ksads__agor__oth_dx,mh_p_ksads__agor__oth_dx == 1
Agoraphobia,agor,parent,past,mh_p_ksads__agor__past_dx,mh_p_ksads__agor__past_dx == 1
Agoraphobia,agor,parent,present,mh_p_ksads__agor__pres_dx,mh_p_ksads__agor__pres_dx == 1
Agoraphobia,agor,parent,lifetime_union,mh_p_ksads__agor__past_dx | mh_p_ksads__agor__pres_dx,any(present/past/partial_remission _dx == 1)
"Other specified neurodevelopmental disorder, autism spectrum disorder",asd,parent,unknown,mh_p_ksads__asd__oth_dx,mh_p_ksads__asd__oth_dx == 1
Autism spectrum disorder,asd,parent,unknown,mh_p_ksads__asd_dx,mh_p_ksads__asd_dx == 1
"Bipolar I disorder, currently depressed",bpd,parent,partial_remission,mh_p_ksads__bpd__bpd1__curdep__partrem_dx,mh_p_ksads__bpd__bpd1__curdep__partrem_dx == 1
"Bipolar I disorder, current episode depressed",bpd,parent,present,mh_p_ksads__bpd__bpd1__curdep__pres_dx,mh_p_ksads__bpd__bpd1__curdep__pres_dx == 1
"Bipolar I disorder, currently hypomanic",bpd,parent,present,mh_p_ksads__bpd__bpd1__curhypo__pres_dx,mh_p_ksads__bpd__bpd1__curhypo__pres_dx == 1
"Bipolar I disorder, current episode manic",bpd,parent,present,mh_p_ksads__bpd__bpd1__curmanic__pres_dx,mh_p_ksads__bpd__bpd1__curmanic__pres_dx == 1
"Bipolar I disorder, most recent past episode depressed",bpd,parent,present,mh_p_ksads__bpd__bpd1__rcnt__dep__pres_dx,mh_p_ksads__bpd__bpd1__rcnt__dep__pres_dx == 1
"Bipolar I disorder, most recent past episode manic",bpd,parent,present,mh_p_ksads__bpd__bpd1__rcnt__manic__pres_dx,mh_p_ksads__bpd__bpd1__rcnt__manic__pres_dx == 1
"Bipolar I disorder, most recent episode manic/depressed/mixed",bpd,parent,present,mh_p_ksads__bpd__bpd1__rcnt__manicmix__pres_dx,mh_p_ksads__bpd__bpd1__rcnt__manicmix__pres_dx == 1
"Bipolar II disorder, currently depressed",bpd,parent,partial_remission,mh_p_ksads__bpd__bpd2__curdep__partrem_dx,mh_p_ksads__bpd__bpd2__curdep__partrem_dx == 1
