variable,informant,module,status_layer,category,broadband,is_subthreshold
mh_p_ksads__adhd__fullrem_dx,parent,adhd,unknown,ADHD,Externalizing|Neurodevelopmental,0
mh_p_ksads__adhd__oth_dx,parent,adhd,unknown,ADHD,Externalizing|Neurodevelopmental,1
mh_p_ksads__adhd__partrem_dx,parent,adhd,partial_remission,ADHD,Externalizing|Neurodevelopmental,0
mh_p_ksads__adhd__past_dx,parent,adhd,past,ADHD,Externalizing|Neurodevelopmental,0
mh_p_ksads__adhd__pres_dx,parent,adhd,present,ADHD,Externalizing|Neurodevelopmental,0
mh_p_ksads__adhd__unspec_dx,parent,adhd,unknown,ADHD,Externalizing|Neurodevelopmental,1
mh_p_ksads__agor__oth_dx,parent,agor,unknown,Anxiety,Internalizing,1
mh_p_ksads__agor__past_dx,parent,agor,past,Anxiety,Internalizing,0
mh_p_ksads__agor__pres_dx,parent,agor,present,Anxiety,Internalizing,0
mh_p_ksads__asd__oth_dx,parent,asd,unknown,Autism,Neurodevelopmental,1
mh_p_ksads__asd_dx,parent,asd,unknown,Autism,Neurodevelopmental,0
mh_p_ksads__bpd__bpd1__curdep__partrem_dx,parent,bpd,partial_remission,Bipolar,Mood,0
mh_p_ksads__bpd__bpd1__curdep__pres_dx,parent,bpd,present,Bipolar,Mood,0
mh_p_ksads__bpd__bpd1__curhypo__pres_dx,parent,bpd,present,Bipolar,Mood,0
mh_p_ksads__bpd__bpd1__curmanic__pres_dx,parent,bpd,present,Bipolar,Mood,0
mh_p_ksads__bpd__bpd1__rcnt__dep__pres_dx,parent,bpd,present,Bipolar,Mood,0
mh_p_ksads__bpd__bpd1__rcnt__manic__pres_dx,parent,bpd,present,Bipolar,Mood,0
mh_p_ksads__bpd__bpd1__rcnt__manicmix__pres_dx,parent,bpd,present,Bipolar,Mood,0
mh_p_ksads__bpd__bpd2__curdep__partrem_dx,parent,bpd,partial_remission,Bipolar,Mood,0
mh_p_ksads__bpd__bpd2__curdep__pres_dx,parent,bpd,present,Bipolar,Mood,0
mh_p_ksads__bpd__bpd2__curhypo__pres_dx,parent,bpd,present,Bipolar,Mood,0
mh_p_ksads__bpd__bpd2__oth__mindur_dx,parent,bpd,unknown,Bipolar,Mood,1
mh_p_ksads__bpd__bpd2__oth__nomdd_dx,parent,bpd,unknown,Bipolar,Mood,1
mh_p_ksads__bpd__bpd2__rcnt__hypo__pres_dx,parent,bpd,present,Bipolar,Mood,0
mh_p_ksads__bpd__bpd2__rcnt__hypomix__pres_dx,parent,bpd,present,Bipolar,Mood,0
mh_p_ksads__bpd__oth__mindur_dx,parent,bpd,unknown,Bipolar,Mood,1
mh_p_ksads__bpd__unspec__past_dx,parent,bpd,past,Bipolar,Mood,1
mh_p_ksads__bpd__unspec__pres_dx,parent,bpd,present,Bipolar,Mood,1
mh_p_ksads__cond__onset__adoles__past_dx,parent,cond,past,Conduct,Externalizing,0
mh_p_ksads__cond__onset__adoles__pres_dx,parent,cond,present,Conduct,Externalizing,0
mh_p_ksads__cond__onset__chld__past_dx,parent,cond,past,Conduct,Externalizing,0
mh_p_ksads__cond__onset__chld__pres_dx,parent,cond,present,Conduct,Externalizing,0
mh_p_ksads__dep__mdd__partrem_dx,parent,dep,partial_remission,Depression,Internalizing|Mood,0
mh_p_ksads__dep__mdd__past_dx,parent,dep,past,Depression,Internalizing|Mood,0
