table,module,informant,disorder,status,variable,session_id,ksads_version,n_present,n_absent,n_branchskip_888,n_notadmin_555,n_nan,n_total,pct_administered
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__fullrem_dx,ses-00A,1.0,0,0,0,0,11719,11719,0.0
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__fullrem_dx,ses-01A,1.0,0,0,0,0,11083,11083,0.0
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__fullrem_dx,ses-02A,1.0,0,0,0,0,10743,10743,0.0
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__fullrem_dx,ses-03A,2.0,4,9986,0,0,6,9996,99.9
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__fullrem_dx,ses-04A,2.0,5,8395,0,0,0,8400,100.0
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__fullrem_dx,ses-05A,2.0,0,0,0,8056,0,8056,0.0
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__fullrem_dx,ses-06A,2.0,9,9275,0,0,0,9284,100.0
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__fullrem_dx,ses-07A,2.0,5,8316,0,0,0,8321,100.0
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__oth_dx,ses-00A,1.0,0,0,0,0,11719,11719,0.0
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__oth_dx,ses-01A,1.0,0,0,0,0,11083,11083,0.0
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__oth_dx,ses-02A,1.0,0,0,0,0,10743,10743,0.0
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__oth_dx,ses-03A,2.0,34,9956,0,0,6,9996,99.9
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__oth_dx,ses-04A,2.0,45,8355,0,0,0,8400,100.0
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__oth_dx,ses-05A,2.0,0,0,0,8056,0,8056,0.0
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__oth_dx,ses-06A,2.0,55,9229,0,0,0,9284,100.0
mh_p_ksads__adhd,adhd,parent,,unknown,mh_p_ksads__adhd__oth_dx,ses-07A,2.0,63,8258,0,0,0,8321,100.0
mh_p_ksads__adhd,adhd,parent,,partial_remission,mh_p_ksads__adhd__partrem_dx,ses-00A,1.0,136,11569,0,0,14,11719,99.9
mh_p_ksads__adhd,adhd,parent,,partial_remission,mh_p_ksads__adhd__partrem_dx,ses-01A,1.0,91,10983,0,0,9,11083,99.9
mh_p_ksads__adhd,adhd,parent,,partial_remission,mh_p_ksads__adhd__partrem_dx,ses-02A,1.0,87,10652,0,0,4,10743,100.0
mh_p_ksads__adhd,adhd,parent,,partial_remission,mh_p_ksads__adhd__partrem_dx,ses-03A,2.0,517,9473,0,0,6,9996,99.9
mh_p_ksads__adhd,adhd,parent,,partial_remission,mh_p_ksads__adhd__partrem_dx,ses-04A,2.0,276,8124,0,0,0,8400,100.0
mh_p_ksads__adhd,adhd,parent,,partial_remission,mh_p_ksads__adhd__partrem_dx,ses-05A,2.0,0,0,0,8056,0,8056,0.0
mh_p_ksads__adhd,adhd,parent,,partial_remission,mh_p_ksads__adhd__partrem_dx,ses-06A,2.0,309,8975,0,0,0,9284,100.0
mh_p_ksads__adhd,adhd,parent,,partial_remission,mh_p_ksads__adhd__partrem_dx,ses-07A,2.0,313,8008,0,0,0,8321,100.0
mh_p_ksads__adhd,adhd,parent,,past,mh_p_ksads__adhd__past_dx,ses-00A,1.0,848,10857,0,0,14,11719,99.9
mh_p_ksads__adhd,adhd,parent,,past,mh_p_ksads__adhd__past_dx,ses-01A,1.0,982,10092,0,0,9,11083,99.9
mh_p_ksads__adhd,adhd,parent,,past,mh_p_ksads__adhd__past_dx,ses-02A,1.0,725,10014,0,0,4,10743,100.0
mh_p_ksads__adhd,adhd,parent,,past,mh_p_ksads__adhd__past_dx,ses-03A,2.0,45,9945,0,0,6,9996,99.9
