disorder,module,informant,status,ksads1_var,ksads2_var,merged_var,proposed_case_definition,confidence,confirmed_use,notes
Attention-deficit/hyperactivity disorder,adhd,parent,unknown,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__adhd__fullrem_dx,mh_p_ksads__adhd__fullrem_dx == 1,high,,
Attention-deficit/hyperactivity disorder,adhd,parent,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__adhd__partrem_dx,mh_p_ksads__adhd__partrem_dx == 1,high,,
Attention-deficit/hyperactivity disorder,adhd,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__adhd__past_dx,mh_p_ksads__adhd__past_dx == 1,high,,
Attention-deficit/hyperactivity disorder,adhd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__adhd__pres_dx,mh_p_ksads__adhd__pres_dx == 1,high,,
Attention-deficit/hyperactivity disorder,adhd,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__adhd__partrem_dx | mh_p_ksads__adhd__past_dx | mh_p_ksads__adhd__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
Other specified attention-deficit/hyperactivity disorder,adhd,parent,unknown,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__adhd__oth_dx,mh_p_ksads__adhd__oth_dx == 1,low,,
Unspecified Attention-deficit/hyperactivity disorder,adhd,parent,unknown,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__adhd__unspec_dx,mh_p_ksads__adhd__unspec_dx == 1,low,,
"Other specified anxiety disorder, agoraphobia",agor,parent,unknown,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__agor__oth_dx,mh_p_ksads__agor__oth_dx == 1,low,,
Agoraphobia,agor,parent,past,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__agor__past_dx,mh_p_ksads__agor__past_dx == 1,high,,
Agoraphobia,agor,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__agor__pres_dx,mh_p_ksads__agor__pres_dx == 1,high,,
Agoraphobia,agor,parent,lifetime_union,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__agor__past_dx | mh_p_ksads__agor__pres_dx,any(present/past/partial_remission _dx == 1),high,,lifetime = ever met criteria; clinician decides whether to include partial remission
"Other specified neurodevelopmental disorder, autism spectrum disorder",asd,parent,unknown,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__asd__oth_dx,mh_p_ksads__asd__oth_dx == 1,low,,
Autism spectrum disorder,asd,parent,unknown,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__asd_dx,mh_p_ksads__asd_dx == 1,high,,
"Bipolar I disorder, currently depressed",bpd,parent,partial_remission,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__bpd1__curdep__partrem_dx,mh_p_ksads__bpd__bpd1__curdep__partrem_dx == 1,high,,
"Bipolar I disorder, current episode depressed",bpd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__bpd1__curdep__pres_dx,mh_p_ksads__bpd__bpd1__curdep__pres_dx == 1,high,,
"Bipolar I disorder, currently hypomanic",bpd,parent,present,(not exposed in 7.0 BIDS),(not exposed in 7.0 BIDS),mh_p_ksads__bpd__bpd1__curhypo__pres_dx,mh_p_ksads__bpd__bpd1__curhypo__pres_dx == 1,high,,
