informant,construct,status,variable,label
parent,"Suicidal ideation, active intent",past,mh_p_ksads__suic__actv__int__past_dx,"Diagnosis: Suicidal ideation, active intent - Past [Parent]"
parent,"Suicidal ideation, active intent",present,mh_p_ksads__suic__actv__int__pres_dx,"Diagnosis: Suicidal ideation, active intent - Present [Parent]"
parent,"Suicidal ideation, active method",past,mh_p_ksads__suic__actv__mthd__past_dx,"Diagnosis: Suicidal ideation, active method - Past [Parent]"
parent,"Suicidal ideation, active method",present,mh_p_ksads__suic__actv__mthd__pres_dx,"Diagnosis: Suicidal ideation, active method - Present [Parent]"
parent,"Suicidal ideation, active non",past,mh_p_ksads__suic__actv__past_dx,"Diagnosis: Suicidal ideation, active non-specific - Past [Parent]"
parent,"Suicidal ideation, active plan",past,mh_p_ksads__suic__actv__plan__past_dx,"Diagnosis: Suicidal ideation, active plan - Past [Parent]"
parent,"Suicidal ideation, active plan",present,mh_p_ksads__suic__actv__plan__pres_dx,"Diagnosis: Suicidal ideation, active plan - Present [Parent]"
parent,"Suicidal ideation, active non",present,mh_p_ksads__suic__actv__pres_dx,"Diagnosis: Suicidal ideation, active non-specific - Present [Parent]"
parent,Aborted attempt,past,mh_p_ksads__suic__atmpt__abrt__past_dx,Diagnosis: Aborted attempt - Past [Parent]
parent,Aborted attempt,present,mh_p_ksads__suic__atmpt__abrt__pres_dx,Diagnosis: Aborted attempt - Present [Parent]
parent,Interrupted attempt,past,mh_p_ksads__suic__atmpt__intr__past_dx,Diagnosis: Interrupted attempt - Past [Parent]
parent,Interrupted attempt,present,mh_p_ksads__suic__atmpt__intr__pres_dx,Diagnosis: Interrupted attempt - Present [Parent]
parent,Suicide attempt,past,mh_p_ksads__suic__atmpt__past_dx,Diagnosis: Suicide attempt - Past [Parent]
parent,Suicide attempt,present,mh_p_ksads__suic__atmpt__pres_dx,Diagnosis: Suicide attempt - Present [Parent]
parent,Preparatory actions toward imminent suicidal behavior,past,mh_p_ksads__suic__imnt__past_dx,Diagnosis: Preparatory actions toward imminent suicidal behavior - Past [Parent]
parent,Preparatory actions toward imminent suicidal behavior,present,mh_p_ksads__suic__imnt__pres_dx,Diagnosis: Preparatory actions toward imminent suicidal behavior - Present [Parent]
parent,No past suicidal ideation or behavior,past,mh_p_ksads__suic__none__past_dx,Diagnosis: No past suicidal ideation or behavior - Past [Parent]
