module,informant,diagnosis_label,status,merged_var,version_note,two_zero_only_flag
adhd,parent,Attention,partial_remission,mh_p_ksads__adhd__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
adhd,parent,Attention,past,mh_p_ksads__adhd__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
adhd,parent,Attention,present,mh_p_ksads__adhd__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
adhd,parent,Attention,unknown,mh_p_ksads__adhd__fullrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
adhd,parent,Other specified attention,unknown,mh_p_ksads__adhd__oth_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
adhd,parent,Unspecified Attention,unknown,mh_p_ksads__adhd__unspec_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
agor,parent,Agoraphobia,past,mh_p_ksads__agor__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
agor,parent,Agoraphobia,present,mh_p_ksads__agor__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
agor,parent,"Other specified anxiety disorder, agoraphobia",unknown,mh_p_ksads__agor__oth_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
asd,parent,Autism spectrum disorder,unknown,mh_p_ksads__asd_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,ASD (parent report only) — added in KSADS-COMP 2.0; no 1.0 equivalent
asd,parent,"Other specified neurodevelopmental disorder, autism spectrum disorder",unknown,mh_p_ksads__asd__oth_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,ASD (parent report only) — added in KSADS-COMP 2.0; no 1.0 equivalent
bpd,parent,"Bipolar I disorder, current episode depressed",present,mh_p_ksads__bpd__bpd1__curdep__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,"Bipolar I disorder, current episode depressed",present,mh_y_ksads__bpd__bpd1__curdep__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
