group,session,wave_label,in_design,n_total,n_administered,n_present,pct_555,pct_not_assessed,state
Mood,ses-00A,Baseline,True,11719,11705,437,0.0,0.1,administered_cases
Mood,ses-01A,Y1,False,11075,0,0,0.0,100.0,not_administered
Mood,ses-02A,Y2,True,10743,10739,251,0.0,0.0,administered_cases
Mood,ses-03A,Y3,False,9990,0,0,0.0,100.0,not_administered
Mood,ses-04A,Y4,True,8400,8400,94,0.0,0.0,administered_cases
Mood,ses-05A,Y5,False,8056,0,0,0.0,100.0,not_administered
Mood,ses-06A,Y6,True,9284,9284,120,0.0,0.0,administered_cases
Mood,ses-07A,Y7,False,8321,0,0,0.0,100.0,not_administered
Anxiety,ses-00A,Baseline,True,11719,11705,1188,0.0,0.1,administered_cases
Anxiety,ses-01A,Y1,False,11075,0,0,100.0,100.0,not_administered
Anxiety,ses-02A,Y2,True,10743,10739,871,0.0,0.0,administered_cases
Anxiety,ses-03A,Y3,False,9990,0,0,100.0,100.0,not_administered
Anxiety,ses-04A,Y4,True,8400,8400,705,0.0,0.0,administered_cases
Anxiety,ses-05A,Y5,False,8056,0,0,100.0,100.0,not_administered
Anxiety,ses-06A,Y6,True,9284,9284,487,0.0,0.0,administered_cases
Anxiety,ses-07A,Y7,False,8321,0,0,100.0,100.0,not_administered
Externalizing,ses-00A,Baseline,True,11719,11705,1406,0.0,0.1,administered_cases
Externalizing,ses-01A,Y1,False,11083,11074,1414,0.0,0.1,administered_cases
Externalizing,ses-02A,Y2,True,10743,10739,1032,0.0,0.0,administered_cases
Externalizing,ses-03A,Y3,False,9996,9990,683,0.0,0.1,administered_cases
Externalizing,ses-04A,Y4,True,8400,8400,814,0.0,0.0,administered_cases
Externalizing,ses-05A,Y5,False,8056,0,0,100.0,100.0,not_administered
Externalizing,ses-06A,Y6,True,9284,9284,640,0.0,0.0,administered_cases
Externalizing,ses-07A,Y7,False,8321,8321,675,0.0,0.0,administered_cases
DMDD,ses-00A,Baseline,True,11708,11705,8,0.0,0.0,administered_cases
DMDD,ses-01A,Y1,False,11074,0,0,100.0,100.0,not_administered
DMDD,ses-02A,Y2,True,10740,10739,3,0.0,0.0,administered_cases
DMDD,ses-03A,Y3,False,9990,0,0,100.0,100.0,not_administered
DMDD,ses-04A,Y4,True,8400,8400,40,0.0,0.0,administered_cases
DMDD,ses-05A,Y5,False,8056,0,0,100.0,100.0,not_administered
DMDD,ses-06A,Y6,True,9284,9284,20,0.0,0.0,administered_cases
DMDD,ses-07A,Y7,False,8321,0,0,100.0,100.0,not_administered
OCD,ses-00A,Baseline,True,11719,11705,897,0.0,0.1,administered_cases
OCD,ses-01A,Y1,False,11075,0,0,100.0,100.0,not_administered
OCD,ses-02A,Y2,True,10743,10739,661,0.0,0.0,administered_cases
OCD,ses-03A,Y3,False,9990,0,0,100.0,100.0,not_administered
OCD,ses-04A,Y4,True,8400,8400,214,0.0,0.0,administered_cases
