group,module,disorder,status,variable
Mood,bpd,"Bipolar I disorder, current episode depressed",present,mh_p_ksads__bpd__bpd1__curdep__pres_dx
Mood,bpd,"Bipolar I disorder, current episode manic",present,mh_p_ksads__bpd__bpd1__curmanic__pres_dx
Mood,bpd,"Bipolar I disorder, currently depressed",partial_remission,mh_p_ksads__bpd__bpd1__curdep__partrem_dx
Mood,bpd,"Bipolar I disorder, currently hypomanic",present,mh_p_ksads__bpd__bpd1__curhypo__pres_dx
Mood,bpd,"Bipolar I disorder, most recent episode manic/depressed/mixed",present,mh_p_ksads__bpd__bpd1__rcnt__manicmix__pres_dx
Mood,bpd,"Bipolar I disorder, most recent past episode depressed",present,mh_p_ksads__bpd__bpd1__rcnt__dep__pres_dx
Mood,bpd,"Bipolar I disorder, most recent past episode manic",present,mh_p_ksads__bpd__bpd1__rcnt__manic__pres_dx
Mood,bpd,"Bipolar II disorder, currently depressed",partial_remission,mh_p_ksads__bpd__bpd2__curdep__partrem_dx
Mood,bpd,"Bipolar II disorder, currently depressed",present,mh_p_ksads__bpd__bpd2__curdep__pres_dx
Mood,bpd,"Bipolar II disorder, currently hypomanic",present,mh_p_ksads__bpd__bpd2__curhypo__pres_dx
Mood,bpd,"Bipolar II disorder, most recent episode hypomanic",present,mh_p_ksads__bpd__bpd2__rcnt__hypo__pres_dx
Mood,bpd,"Bipolar II disorder, most recent episode hypomanic/depressed/mixed",present,mh_p_ksads__bpd__bpd2__rcnt__hypomix__pres_dx
Mood,bpd,"Other specified bipolar and related disorder, meets criteria for bipolar II disorder (except never had major depressive episode)",unknown,mh_p_ksads__bpd__bpd2__oth__nomdd_dx
Mood,bpd,"Other specified bipolar and related disorder, meets criteria for bipolar II disorder (impairment does not meet minimum duration)",unknown,mh_p_ksads__bpd__bpd2__oth__mindur_dx
Mood,bpd,"Other specified bipolar and related disorder, recurrent manic or hypomanic episodes (impairment does not meet minimum duration))",unknown,mh_p_ksads__bpd__oth__mindur_dx
Mood,bpd,Unspecified bipolar and related disorder,past,mh_p_ksads__bpd__unspec__past_dx
Mood,bpd,Unspecified bipolar and related disorder,present,mh_p_ksads__bpd__unspec__pres_dx
Mood,dep,Major depressive disorder,partial_remission,mh_p_ksads__dep__mdd__partrem_dx
Mood,dep,Major depressive disorder,past,mh_p_ksads__dep__mdd__past_dx
Mood,dep,Major depressive disorder,present,mh_p_ksads__dep__mdd__pres_dx
Mood,dep,"Other specified depressive disorder, persistent depressive disorder (impairment does not meet full criteria)",present,mh_p_ksads__dep__pdd__oth__pres_dx
Mood,dep,Persistent depressive disorder (Dysthymia),partial_remission,mh_p_ksads__dep__pdd__partrem_dx
Mood,dep,Persistent depressive disorder (Dysthymia),past,mh_p_ksads__dep__pdd__past_dx
Mood,dep,Persistent depressive disorder (Dysthymia),present,mh_p_ksads__dep__pdd__pres_dx
Mood,dep,Unspecified depressive disorder,past,mh_p_ksads__dep__unspec__past_dx
Mood,dep,Unspecified depressive disorder,present,mh_p_ksads__dep__unspec__pres_dx
Anxiety,agor,Agoraphobia,past,mh_p_ksads__agor__past_dx
Anxiety,agor,Agoraphobia,present,mh_p_ksads__agor__pres_dx
Anxiety,agor,"Other specified anxiety disorder, agoraphobia (impairment does not meet full criteria)",unknown,mh_p_ksads__agor__oth_dx
Anxiety,gad,Generalized anxiety disorder,past,mh_p_ksads__gad__past_dx
Anxiety,gad,Generalized anxiety disorder,present,mh_p_ksads__gad__pres_dx
Anxiety,gad,"Other specified anxiety disorder, generalized anxiety disorder (impairment does not meet minimum duration)",past,mh_p_ksads__gad__oth__mindur__past_dx
Anxiety,gad,"Other specified anxiety disorder, generalized anxiety disorder (impairment does not meet minimum duration)",present,mh_p_ksads__gad__oth__mindur__pres_dx
Anxiety,panic,"Other specified anxiety disorder, panic disorder (impairment does not meet full criteria)",past,mh_p_ksads__panic__oth__past_dx
Anxiety,panic,"Other specified anxiety disorder, panic disorder (impairment does not meet full criteria)",present,mh_p_ksads__panic__oth__pres_dx
Anxiety,panic,Panic disorder,partial_remission,mh_p_ksads__panic__partrem_dx
Anxiety,panic,Panic disorder,past,mh_p_ksads__panic__past_dx
Anxiety,panic,Panic disorder,present,mh_p_ksads__panic__pres_dx
Anxiety,phobia,Specific phobia,past,mh_p_ksads__phobia__past_dx
Anxiety,phobia,Specific phobia,present,mh_p_ksads__phobia__pres_dx
Anxiety,sepanx,"Other specified anxiety disorder, separation anxiety disorder (impairment does not meet full criteria)",past,mh_p_ksads__sepanx__oth__past_dx
Anxiety,sepanx,"Other specified anxiety disorder, separation anxiety disorder (impairment does not meet full criteria)",present,mh_p_ksads__sepanx__oth__pres_dx
Anxiety,sepanx,Separation anxiety disorder,past,mh_p_ksads__sepanx__past_dx
Anxiety,sepanx,Separation anxiety disorder,present,mh_p_ksads__sepanx__pres_dx
Anxiety,socanx,"Other specified anxiety disorder, social anxiety disorder (impairment does not meet minimum duration)",past,mh_p_ksads__socanx__oth__mindur__past_dx
Anxiety,socanx,"Other specified anxiety disorder, social anxiety disorder (impairment does not meet minimum duration)",present,mh_p_ksads__socanx__oth__mindur__pres_dx
Anxiety,socanx,Social anxiety disorder,past,mh_p_ksads__socanx__past_dx
Anxiety,socanx,Social anxiety disorder,present,mh_p_ksads__socanx__pres_dx
Externalizing,adhd,Attention-deficit/hyperactivity disorder,partial_remission,mh_p_ksads__adhd__partrem_dx
Externalizing,adhd,Attention-deficit/hyperactivity disorder,past,mh_p_ksads__adhd__past_dx
Externalizing,adhd,Attention-deficit/hyperactivity disorder,present,mh_p_ksads__adhd__pres_dx
Externalizing,adhd,Attention-deficit/hyperactivity disorder,unknown,mh_p_ksads__adhd__fullrem_dx
Externalizing,adhd,Other specified attention-deficit/hyperactivity disorder,unknown,mh_p_ksads__adhd__oth_dx
Externalizing,adhd,Unspecified Attention-deficit/hyperactivity disorder,unknown,mh_p_ksads__adhd__unspec_dx
Externalizing,cond,"Conduct disorder, adolescent onset",past,mh_p_ksads__cond__onset__adoles__past_dx
Externalizing,cond,"Conduct disorder, adolescent onset",present,mh_p_ksads__cond__onset__adoles__pres_dx
Externalizing,cond,"Conduct disorder, childhood onset",past,mh_p_ksads__cond__onset__chld__past_dx
Externalizing,cond,"Conduct disorder, childhood onset",present,mh_p_ksads__cond__onset__chld__pres_dx
Externalizing,odd,Oppositional defiant disorder,past,mh_p_ksads__odd__past_dx
Externalizing,odd,Oppositional defiant disorder,present,mh_p_ksads__odd__pres_dx
DMDD,dmdd,Disruptive mood dysregulation disorder,present,mh_p_ksads__dmdd__dmdd__pres_dx
OCD,ocd,Obessive-compulsive disorder,past,mh_p_ksads__ocd__past_dx
OCD,ocd,Obessive-compulsive disorder,present,mh_p_ksads__ocd__pres_dx
OCD,ocd,Other specified obessive-compulsive and related disorder (impairment does not meet full criteria),past,mh_p_ksads__ocd__oth__past_dx
OCD,ocd,Other specified obessive-compulsive and related disorder (impairment does not meet full criteria),present,mh_p_ksads__ocd__oth__pres_dx
PTSD,ptsd,"Other specified trauma and stressor related disorder, PTSD (impairment does not meet full criteria)",past,mh_p_ksads__ptsd__oth__past_dx
PTSD,ptsd,"Other specified trauma and stressor related disorder, PTSD (impairment does not meet full criteria)",present,mh_p_ksads__ptsd__oth__pres_dx
PTSD,ptsd,Post-traumatic stress disorder,partial_remission,mh_p_ksads__ptsd__partrem_dx
PTSD,ptsd,Post-traumatic stress disorder,past,mh_p_ksads__ptsd__past_dx
PTSD,ptsd,Post-traumatic stress disorder,present,mh_p_ksads__ptsd__pres_dx
Psychosis,psych,Associated psychotic symptoms,past,mh_p_ksads__psych__aps__past_dx
Psychosis,psych,Associated psychotic symptoms,present,mh_p_ksads__psych__aps__pres_dx
Psychosis,psych,Delusions,past,mh_p_ksads__psych__delus__past_dx
Psychosis,psych,Delusions,present,mh_p_ksads__psych__delus__pres_dx
Psychosis,psych,Hallucinations,past,mh_p_ksads__psych__hlcn__past_dx
Psychosis,psych,Hallucinations,present,mh_p_ksads__psych__hlcn__pres_dx
Psychosis,psych,Other specified psychotic disorder (impairment does not meet full criteria),present,mh_p_ksads__psych__oth__pres_dx
